Date,INFY.NS
2014-08-14,347.8121643066406
2014-08-18,342.7333679199219
2014-08-19,341.57806396484375
2014-08-20,342.22796630859375
2014-08-21,341.688720703125
2014-08-22,346.7001647949219
2014-08-25,349.28033447265625
2014-08-26,348.928955078125
2014-08-27,349.54510498046875
2014-08-28,346.4882507324219
2014-09-01,346.5700988769531
2014-09-02,347.92767333984375
2014-09-03,359.529296875
2014-09-04,357.0741271972656
2014-09-05,359.1922607421875
2014-09-08,364.0927734375
2014-09-09,359.7026062011719
2014-09-10,353.0834045410156
2014-09-11,354.7057189941406
2014-09-12,353.3337097167969
2014-09-15,350.5801086425781
2014-09-16,351.5380859375
2014-09-17,360.18389892578125
2014-09-18,355.9428405761719
2014-09-19,356.4290466308594
2014-09-22,351.47552490234375
2014-09-23,347.2874450683594
2014-09-24,350.9170837402344
2014-09-25,355.3651428222656
2014-09-26,354.320556640625
2014-09-29,360.9541015625
2014-09-30,360.8290100097656
2014-10-01,370.4135437011719
2014-10-07,368.8730773925781
2014-10-08,351.4321594238281
2014-10-09,351.10968017578125
2014-10-10,374.3947448730469
2014-10-13,379.5841369628906
2014-10-14,377.24932861328125
2014-10-15,377.24932861328125
2014-10-16,375.0179443359375
2014-10-17,373.6935119628906
2014-10-20,369.88067626953125
2014-10-21,366.0579528808594
2014-10-22,368.2991638183594
2014-10-27,368.97833251953125
2014-10-28,367.54229736328125
2014-10-29,376.5848388671875
2014-10-30,382.9009094238281
2014-10-31,393.05902099609375
2014-11-03,396.4208679199219
2014-11-05,400.1949768066406
2014-11-07,404.25054931640625
2014-11-10,404.1437683105469
2014-11-11,400.23382568359375
2014-11-12,398.3709716796875
2014-11-13,405.414794921875
2014-11-14,406.680908203125
2014-11-17,409.2810363769531
2014-11-18,405.778564453125
2014-11-19,404.9053955078125
2014-11-20,409.9748229980469
2014-11-21,402.26641845703125
2014-11-24,414.7774658203125
2014-11-25,417.5036926269531
2014-11-26,417.2368469238281
2014-11-27,423.58685302734375
2014-11-28,423.0
2014-12-01,422.02978515625
2014-12-02,412.652587890625
2014-12-03,412.0510559082031
2014-12-04,407.8402404785156
2014-12-05,401.7279357910156
2014-12-08,382.2945251464844
2014-12-09,381.2563781738281
2014-12-10,381.0526123046875
2014-12-11,372.7669677734375
2014-12-12,376.1821594238281
2014-12-15,373.49468994140625
2014-12-16,376.0560302734375
2014-12-17,376.153076171875
2014-12-18,381.4698486328125
2014-12-19,387.82476806640625
2014-12-22,388.00909423828125
2014-12-23,382.5855712890625
2014-12-24,374.6103820800781
2014-12-26,378.8211364746094
2014-12-29,379.8980712890625
2014-12-30,381.55712890625
2014-12-31,382.7602844238281
2015-01-01,383.11920166015625
2015-01-02,390.6480407714844
2015-01-05,387.2911376953125
2015-01-06,379.19952392578125
2015-01-07,381.0138244628906
2015-01-08,382.93487548828125
2015-01-09,402.5331726074219
2015-01-12,410.5860595703125
2015-01-13,405.3371887207031
2015-01-14,413.0503845214844
2015-01-15,414.1369934082031
2015-01-16,411.0419921875
2015-01-19,407.97613525390625
2015-01-20,412.18695068359375
2015-01-21,421.05462646484375
2015-01-22,426.2065124511719
2015-01-23,429.8157653808594
2015-01-27,414.5736083984375
2015-01-28,416.1356506347656
2015-01-29,416.3200378417969
2015-01-30,415.6213684082031
2015-02-02,414.6415710449219
2015-02-03,411.5465393066406
2015-02-04,415.8058166503906
2015-02-05,425.6922607421875
2015-02-06,432.81378173828125
2015-02-09,436.3840026855469
2015-02-10,442.0889892578125
2015-02-11,443.360107421875
2015-02-12,448.4728698730469
2015-02-13,445.5428771972656
2015-02-16,442.1763000488281
2015-02-18,445.62054443359375
2015-02-19,451.0925598144531
2015-02-20,443.0202941894531
2015-02-23,439.6246337890625
2015-02-24,441.0218811035156
2015-02-25,449.71478271484375
2015-02-26,438.1693115234375
2015-02-27,439.6537170410156
2015-03-02,444.68914794921875
